_id,NO,種別,施設名,住所
82,82,宿泊可能避難所,船橋市立法典西小学校,千葉県船橋市上山町1-111-5
83,83,宿泊可能避難所,船橋市立法典東小学校,千葉県船橋市丸山5-25-1
84,84,宿泊可能避難所,船橋市立法田中学校,千葉県船橋市藤原7-46-1
85,85,宿泊可能避難所,船橋市立豊富小学校,千葉県船橋市豊富町1
86,86,宿泊可能避難所,船橋市立豊富中学校,千葉県船橋市豊富町12
87,87,宿泊可能避難所,船橋市立湊中学校,千葉県船橋市日の出1-1-2
88,88,宿泊可能避難所,船橋市立湊町小学校,千葉県船橋市湊町1-16-5
89,89,宿泊可能避難所,船橋市立薬円台小学校,千葉県船橋市薬円台4-5-1
90,90,宿泊可能避難所,船橋市立薬円台南小学校,千葉県船橋市薬円台2-18-1
91,91,福祉避難所,船橋市立船橋特別支援学校,千葉県船橋市金堀町349-1
92,92,宿泊可能避難所,船橋市夏見公民館,千葉県船橋市夏見2-29-1
93,93,福祉避難所,船橋市夏見公民館（福祉避難所）,千葉県船橋市夏見2-29-1
94,94,宿泊可能避難所,船橋市海老が作公民館,千葉県船橋市大穴南3-19-1
95,95,福祉避難所,船橋市海老が作公民館（福祉避難所）,千葉県船橋市大穴南3-19-1
96,96,宿泊可能避難所,船橋市葛飾公民館,千葉県船橋市西船3-6-25-201
97,97,福祉避難所,船橋市葛飾公民館（福祉避難所）,千葉県船橋市西船3-6-25-201
98,98,宿泊可能避難所,船橋市丸山公民館,千葉県船橋市丸山5-19-6
